Code commune,Libellé de la commune,N.Pan.,Code Nuance,Sexe,Nom,Prénom,Liste,Sièges / Elu,Sièges Secteur,Sièges CC,Voix,% Voix/Ins,% Voix/Exp,D_elec_2020
06010,Le Bar-sur-Loup,2.0,LNC,M,WYSZKOWSKI,François,UN VILLAGE UNE EQUIPE,18.0,0.0,2.0,476.0,23.16,49.28,0.0
06027,Cagnes-sur-Mer,1.0,LLR,M,NÈGRE,Louis,"Pour Cagnes, Louis Negre l'exigence du futur",34.0,0.0,7.0,4739.0,14.05,47.86,0.0
06033,Carros,1.0,LDVD,M,BERNARD,Yannick,CARROS TERRE D'ENERGIES,25.0,0.0,2.0,2278.0,26.06,50.34,0.0
06065,La Gaude,3.0,LDVD,M,BETTATI,Bruno,CONTINUONS ENSEMBLE,25.0,0.0,1.0,1886.0,34.06,66.86,0.0
06067,Gorbio,2.0,LNC,M,COUFFET,Paul,UNE EQUIPE POUR GORBIO,15.0,0.0,1.0,407.0,38.22,52.38,0.0
06083,Menton,4.0,LUD,M,GUIBAL,Jean-Claude,UNIS POUR MENTON,28.0,0.0,14.0,4918.0,22.69,55.7,0.0
06088,Nice,3.0,LDVD,M,ESTROSI,Christian,Christian ESTROSI,56.0,0.0,52.0,34039.0,15.79,59.31,0.0
06095,Peymeinade,2.0,LDIV,M,SAINTE-ROSE FANCHINE,Philippe,"PEYMEINADE 2020, PEYMEINADE NATURELLEMENT",23.0,0.0,4.0,1754.0,26.42,58.1,0.0
06104,Roquebrune-Cap-Martin,1.0,LLR,M,CESARI,Patrick,UNIS POUR ROQUEBRUNE CAP MARTIN,26.0,0.0,7.0,1923.0,21.32,52.11,0.0
06118,Saint-Cézaire-sur-Siagne,3.0,LDIV,M,ZEDET,Christian,AVEC VOUS ET POUR VOUS,20.0,0.0,2.0,835.0,25.04,42.02,0.0
06122,Saint-Jeannet,1.0,LDIV,F,CHARLES,Julie,"UNIS-VERS SAINT JEANNET, SOURCES D'AVENIR",21.0,0.0,1.0,1022.0,28.98,55.48,0.0
06127,Saint-Martin-Vésubie,2.0,LNC,M,MOTTET,Ivan,L'AVENIR DE SAINT-MARTIN-VESUBIE C'EST VOUS,12.0,0.0,1.0,636.0,48.18,59.89,0.0
06128,Saint-Paul-de-Vence,1.0,LNC,M,CAMILLA,Jean-Pierre,CAP pour Saint-Paul-de-Vence,18.0,0.0,2.0,780.0,27.69,50.26,0.0
06136,Sospel,2.0,LDIV,M,LORENZI,Jean-Mario,"SOSPEL, UNE FAMILLE",21.0,0.0,2.0,1067.0,35.21,51.75,0.0
06137,Spéracèdes,4.0,LNC,M,MACARIO,Jean-Marc,Spéracèdes l'esprit village,11.0,0.0,1.0,316.0,27.31,41.36,0.0
06138,Théoule-sur-Mer,4.0,LNC,M,BOTELLA,Georges,"Notre parti, c'est Théoule !",12.0,0.0,1.0,498.0,34.63,53.55,0.0
06140,Le Tignet,2.0,LNC,M,SERRA,Claude,AVEC CLAUDE SERRA PRESERVONS LE TIGNET,16.0,0.0,2.0,608.0,22.19,40.13,0.0
06148,Tourrettes-sur-Loup,3.0,LDIV,M,POMA,Frédéric,TOURRETTES ENSEMBLE,21.0,0.0,2.0,881.0,26.62,52.69,0.0
06152,Valbonne,2.0,LECO,M,CESARO,Joseph,Futur & Nature,24.0,0.0,4.0,2039.0,22.94,45.46,1.0
06155,Vallauris,5.0,LDIV,M,LUCIANO,Kevin,2020 AVEC KEVIN LUCIANO - RASSEMBLEMENT POUR L'AVENIR DE VALLAURIS GOLFE-JUAN,24.0,0.0,7.0,2700.0,14.72,35.44,0.0
06157,Vence,2.0,LDIV,M,LEBIGRE,Regis,Regis Lebigre 2020 une parole et des actes,24.0,0.0,2.0,2215.0,15.78,41.71,0.0
06163,Tende,2.0,LNC,M,VASSALLO,Jean-Pierre,VALEUR: COMMUNE!,15.0,0.0,1.0,503.0,34.1,48.79,0.0
07010,Annonay,3.0,LDVG,M,PLENET,Simon,ANNONAY C'EST VOUS,24.0,0.0,15.0,1642.0,14.34,41.95,1.0
07019,Aubenas,4.0,LDVD,M,MEYER,Jean-Yves,AUBENAS LE COEUR ET LA RAISON,24.0,0.0,12.0,1072.0,13.37,42.35,0.0
07078,Davézieux,3.0,LNC,M,DUFAUD,Gilles,DAVEZIEUX TOUT SIMPLEMENT,17.0,0.0,2.0,516.0,19.92,44.1,0.0
07117,Lablachère,2.0,LNC,M,LAPORTE,Jean-Pierre,"LABLACHERE, AU COEUR DU TERRITOIRE",14.0,0.0,6.0,380.0,23.93,40.13,0.0
07191,Rochemaure,3.0,LNC,M,FAURE,Olivier,ROCHEMAURE AVEC VOUS,15.0,0.0,3.0,467.0,26.89,53.62,0.0
07259,Saint-Just-d'Ardèche,1.0,LNC,F,PUJUGUET-GUIGUE,Brigitte,UNISSONS NOUS POUR SAINT JUST D'ARDECHE,15.0,0.0,2.0,438.0,34.9,51.71,0.0
07324,Tournon-sur-Rhône,1.0,LDVD,M,SAUSSET,Frédéric,TOURNON VILLE DE DEMAIN,24.0,0.0,9.0,1416.0,19.41,40.09,0.0
07341,Villeneuve-de-Berg,4.0,LNC,F,DUBOIS,Sylvie,DESSINE MOI VILLENEUVE,16.0,0.0,7.0,444.0,22.35,36.6,0.0
07346,Viviers,4.0,LDIV,F,MATTEI,Martine,Martine MATTEI 2020 LE RENOUVEAU ENSEMBLE !,20.0,0.0,5.0,695.0,24.97,47.09,0.0
08067,Blagny,3.0,LNC,M,LUKOWSKI,Théodor,DEFENSE DES INTERETS COMMUNAUX,12.0,0.0,2.0,229.0,27.0,60.1,0.0
08090,Carignan,3.0,LNC,M,DASSIMY,Alain,"CARIGNAN, CONTINUONS ENSEMBLE",18.0,0.0,6.0,442.0,21.58,50.17,0.0
08139,Deville,3.0,LNC,M,COSENZA,Dominique,DEVIL'LIENS,12.0,0.0,2.0,216.0,30.77,57.91,0.0
08174,Floing,1.0,LNC,F,LESSERTISSEUR,Martine,FLOING PASSION,15.0,0.0,1.0,553.0,32.55,56.09,0.0
08190,Givet,4.0,LDVD,M,ITUCCI,Robert,Servir Givet Génération 2020,21.0,0.0,7.0,911.0,21.44,38.6,0.0
08298,Montcy-Notre-Dame,2.0,LNC,M,LAURENT,Christophe,DEMAIN MONTCY VILLAGE VIVANT,15.0,0.0,1.0,418.0,33.1,50.61,0.0
08346,Prix-lès-Mézières,1.0,LNC,M,DEDION,Bruno,L'AVENIR A TOUT PRIX,11.0,0.0,1.0,261.0,22.21,42.93,0.0
08362,Rethel,1.0,LDVD,M,AFRIBO,Joseph,SERVIR RETHEL,23.0,0.0,14.0,1325.0,27.59,54.64,0.0
08363,Revin,5.0,LDVD,M,DURBECQ,Daniel,ENSEMBLE CONTINUONS PENSONS & VIVONS REVIN,23.0,0.0,7.0,1100.0,23.5,56.58,0.0
08409,Sedan,4.0,LDVG,M,HERBILLON,Didier,100 % SEDAN,26.0,0.0,9.0,1670.0,17.36,53.99,1.0
09157,Laroque-d'Olmes,3.0,LNC,M,LAFFONT,Patrick,NOÛS,14.0,0.0,5.0,561.0,29.3,49.08,0.0
09225,Pamiers,2.0,LDVC,F,THIENNOT,Frédérique,PAMIERS AUTREMENT ENSEMBLE,24.0,0.0,15.0,1777.0,18.82,41.39,0.0
09261,Saint-Girons,2.0,LDVG,M,VIGNEAU,Jean-Noël,"Saint-Girons, Force du Couserans",21.0,0.0,13.0,1031.0,22.97,43.17,1.0
10034,Bar-sur-Seine,1.0,LNC,M,BARONI,Dominique,Ensemble dans l'action pour Bar sur Seine,18.0,0.0,7.0,460.0,25.86,50.94,0.0
10321,La Rivière-de-Corps,3.0,LNC,M,CHOMAT,Christophe,"ENSEMBLE, CREONS DEMAIN",18.0,0.0,1.0,711.0,25.51,57.76,0.0
10362,Sainte-Savine,2.0,LDIV,M,MAGLOIRE,Arnaud,ARNAUD MAGLOIRE 2020,23.0,0.0,4.0,933.0,12.91,38.6,0.0
11069,Carcassonne,6.0,LDVD,M,LARRAT,Gérard,POUR CARCASSONNE AVEC GERARD LARRAT,32.0,0.0,29.0,5843.0,19.62,47.2,0.0
11129,Espéraza,4.0,LNC,M,SOULA,Christian,ENSEMBLE POUR TOUS A ESPERAZA,15.0,0.0,6.0,456.0,32.97,56.44,0.0
11145,Fleury,4.0,LDIV,M,MONTAGNIER,André-Luc,PRESERVER ET EMBELLIR,22.0,0.0,2.0,1377.0,35.93,58.27,0.0
11203,Lézignan-Corbières,2.0,LDVD,M,FORCADA,Gerard,UN AUTRE LEZIGNAN OUI C'EST POSSIBLE,25.0,0.0,17.0,1772.0,23.97,50.13,0.0
11206,Limoux,2.0,LDVG,M,DURAND,Pierre,AGIR ENSEMBLE POUR LIMOUX,26.0,0.0,20.0,1846.0,30.63,57.67,1.0
11258,Moussan,2.0,LNC,M,MONIÉ,Jean-Marie Gérard,MOUSSAN 2020 FORCE ET SOLIDARITE,14.0,0.0,1.0,454.0,27.87,46.66,0.0
11262,Narbonne,6.0,LDVD,M,MOULY,Didier,NOUVEAU NARBONNE 2020,33.0,0.0,23.0,6188.0,15.85,43.57,0.0
