Code commune,Libellé de la commune,N.Pan.,Code Nuance,Sexe,Nom,Prénom,Liste,Sièges / Elu,Sièges Secteur,Sièges CC,Voix,% Voix/Ins,% Voix/Exp,D_elec_2020
17131,Cozes,3.0,LNC,F,BORDAGE,Graziella,Cozes en action,15.0,0.0,1.0,434.0,26.13,46.72,0.0
17140,Dolus-d'Oléron,3.0,LNC,M,BRECHKOFF,Thibault,AGIR POUR DOLUS,18.0,0.0,3.0,1014.0,32.98,52.32,0.0
17218,Marans,2.0,LDVG,M,BODIN,Jean-Marie,"MARANS, PASSION COMMUNE",19.0,0.0,4.0,702.0,19.27,37.5,1.0
17230,Meschers-sur-Gironde,1.0,LNC,F,FRIBOURG,Françoise,MESCHERS POUR TOUS,16.0,0.0,2.0,533.0,18.02,35.87,0.0
17253,Muron,1.0,LNC,F,LEROUGE,Angelique,"MURON, UN NOUVEL HORIZON",12.0,0.0,1.0,248.0,28.18,48.53,0.0
17274,Périgny,3.0,LDVD,F,LIGONNIERE,Marie,"""PERIGNY TOUS ACTEURS""",23.0,0.0,3.0,1692.0,26.22,56.27,0.0
17284,Pont-l'Abbé-d'Arnoult,2.0,LNC,M,SCHNEIDER,Alexandre,UNE ENERGIE NOUVELLE POUR NOTRE VILLAGE,14.0,0.0,2.0,384.0,26.59,44.55,0.0
17299,Rochefort,4.0,LDVD,M,BLANCHÉ,Hervé,HERVÉ BLANCHÉ 2020,28.0,0.0,18.0,3494.0,19.95,58.86,0.0
17300,La Rochelle,1.0,LDVG,M,FOUNTAINE,Jean-François,TOUS ROCHELAIS !,35.0,0.0,24.0,8851.0,17.04,41.97,1.0
17306,Royan,3.0,LDVD,M,MARENGO,Patrick,ROYAN FORCE 17,26.0,0.0,11.0,2862.0,18.0,52.21,0.0
17311,Saint-Augustin,3.0,LNC,F,DOHIN-PROST,Gwennaëlle,AGIR AVEC VOUS,12.0,0.0,1.0,376.0,35.17,53.87,0.0
17330,Sainte-Gemme,3.0,LNC,M,GACHET,Philippe,GEMME MA CAMPAGNE,11.0,0.0,2.0,201.0,23.05,38.14,0.0
17333,Saint-Georges-de-Didonne,1.0,LDVC,M,RICHAUD,François,ST GEORGES UNION 2020,21.0,0.0,3.0,1003.0,20.64,42.25,0.0
17391,Saint-Rogatien,2.0,LNC,M,LARELLE,Didier,ENSEMBLE POUR SAINT ROGATIEN,15.0,0.0,1.0,479.0,27.51,51.01,0.0
17414,Saint-Xandre,2.0,LDVD,F,FERRAND,Evelyne,SAINT-XANDRE DEMAIN,20.0,0.0,2.0,825.0,19.52,40.92,0.0
17415,Saintes,1.0,LDVC,M,DRAPRON,Bruno,"L'action, le coeur en plus",23.0,0.0,17.0,2408.0,12.92,31.77,0.0
17420,Salles-sur-Mer,1.0,LNC,F,GUILLEBAUD,Chantal,SALLES SUR MER L'AVENIR AUTREMENT,15.0,0.0,1.0,499.0,27.15,52.03,0.0
17452,La Tremblade,3.0,LDVD,F,OSTA AMIGO,Laurence,UNIS POUR L'AVENIR,21.0,0.0,2.0,1116.0,26.87,50.61,0.0
18033,Bourges,4.0,LDVG,M,GALUT,Yann,BOURGES POUR TOUTES ET TOUS,38.0,0.0,27.0,8469.0,19.37,54.95,1.0
18140,Massay,1.0,LNC,M,LEVEQUE,Dominique,MASSAY UN VILLAGE POUR TOUS,11.0,0.0,2.0,306.0,27.59,44.87,0.0
18207,Saint-Florent-sur-Cher,4.0,LDIV,F,PROGIN,Nicole,NOUVEL ESSOR,23.0,0.0,11.0,1081.0,22.15,54.79,0.0
19146,Naves,1.0,LNC,M,LONGY,Hervé,N.A.V.E.S.,15.0,0.0,2.0,758.0,40.45,55.33,0.0
19246,Saint-Viance,1.0,LNC,M,CHARPENET,Pierre,CONTINUONS ENSEMBLE POUR SAINT-VIANCE,15.0,0.0,1.0,481.0,32.37,55.22,0.0
19274,Ussac,1.0,LDIV,M,BOSSELUT,Jean-Philippe,"USSAC, CONTINUITÉ ET AVENIR",20.0,0.0,2.0,750.0,21.68,45.26,0.0
19275,Ussel,1.0,LDVD,M,ARFEUILLERE,Christophe,USSEL NOTRE VILLE,23.0,0.0,17.0,1965.0,29.9,55.26,0.0
201114,Figari,3.0,LNC,M,GIUSEPPI,Jean,CAMBIA INSEMI L'UNION POUR LE CHANGEMENT,12.0,0.0,2.0,697.0,47.84,53.13,0.0
201247,Porto-Vecchio,3.0,LREG,M,ANGELINI,Jean-Christophe,Pà Portivechju,26.0,0.0,12.0,4113.0,39.2,54.85,0.0
201272,Sartène,1.0,LDVD,M,QUILICHINI,Paul,TOUJOURS SARTENE - SEMPRI SARTE,18.0,0.0,8.0,952.0,38.45,52.51,0.0
201362,Zonza,1.0,LNC,M,CUCCHI,Nicolas,Pà Cambià / Pour Changer ZONZA è SANTA LUCIA,18.0,0.0,7.0,1033.0,41.89,50.32,0.0
202009,Aléria,2.0,LNC,M,FRATICELLI,Ange-Joseph,ALERIA POUR TOUS,15.0,0.0,10.0,717.0,44.76,50.46,0.0
202033,Bastia,5.0,LREG,M,SAVELLI,Pierre,BASTIA PIÙ FORTE INSEME,33.0,0.0,15.0,6729.0,30.07,49.37,0.0
202134,L'Ile-Rousse,2.0,LNC,F,BASTIANI,Angèle,U CORE DI LISULA,18.0,0.0,9.0,1164.0,42.19,51.89,0.0
21038,Auxonne,3.0,LDIV,M,COIQUIL,Jacques-François,UNE DYNAMIQUE POUR AUXONNE,24.0,0.0,15.0,1282.0,27.02,60.61,0.0
21054,Beaune,4.0,LDVD,M,SUGUENOT,Alain,Alain Suguenot 2020 - Naturellement BEAUNE,28.0,0.0,24.0,2885.0,20.0,56.51,0.0
21231,Dijon,4.0,LUG,M,REBSAMEN,François,Dijon c'est Capitale,43.0,0.0,31.0,11746.0,14.18,43.52,1.0
21263,Fénay,2.0,LNC,M,GOBET,Laurent,S'EPANOUIR À FENAY,14.0,0.0,1.0,285.0,22.28,44.46,0.0
21408,Messigny-et-Vantoux,1.0,LNC,F,GAY,Françoise,NOTRE VILLAGE AVANT TOUT,15.0,0.0,7.0,361.0,29.54,47.38,0.0
21452,Neuilly-Crimolois,1.0,LNC,M,RELOT,Didier,LA DEMOCRATIE AUTREMENT,20.0,0.0,1.0,472.0,23.45,44.74,0.0
21485,Plombières-lès-Dijon,3.0,LNC,F,BAYARD,Monique,"PLOMBIÈRES-LÈS-DIJON,UNE NOUVELLE ÉQUIPE POUR UN VILLAGE SOLIDAIRE",18.0,0.0,1.0,630.0,34.85,56.4,0.0
22004,Bégard,3.0,LDVG,M,CLECH,Vincent,"Bégard, un nouvel horizon à gauche",20.0,0.0,3.0,854.0,22.92,42.28,1.0
22054,Erquy,2.0,LDVC,M,LABBÉ,Henri,ERQUY ERE NOUVELLE,22.0,0.0,2.0,1272.0,36.38,58.73,0.0
22055,Binic - Etables-sur-Mer,3.0,LDIV,M,CHAUVIN,Paul,TRANSITION CITOYENNE,24.0,0.0,2.0,1491.0,23.9,44.71,0.0
22061,Glomel,2.0,LNC,M,TROËL,Thierry,"AGIR POUR GLOMEL, ENSEMBLE",12.0,0.0,2.0,434.0,40.83,58.81,0.0
22093,Lamballe-Armor,4.0,LDVG,M,HERCOUËT,Philippe,ALLONS PLUS LOIN ENSEMBLE,27.0,0.0,11.0,3053.0,24.83,50.26,1.0
22106,Langueux,3.0,LDVC,M,HAAS,Richard,AVEC VOUS POUR LANGUEUX-LES-GREVES,21.0,0.0,3.0,1307.0,22.46,45.8,0.0
22166,Penvénan,2.0,LNC,F,PRUD'HOMM,Denise,DEMAIN PENVENAN,16.0,0.0,2.0,552.0,23.05,36.65,0.0
22168,Perros-Guirec,2.0,LDVD,M,LEON,Erven,AGIR ENSEMBLE POUR PERROS,22.0,0.0,4.0,1931.0,27.25,45.5,0.0
22186,Pléneuf-Val-André,1.0,LDIV,M,BLÉVIN,Pierre-Alexis,POUR VOTRE AVENIR,21.0,0.0,2.0,1268.0,31.69,48.16,0.0
22211,Ploubezre,3.0,LDVD,F,GOURHANT,Brigitte,UN AVENIR DURABLE POUR PLOUBEZRE,22.0,0.0,2.0,932.0,32.74,59.48,0.0
22218,Plougrescant,2.0,LNC,F,PIEDALLU,Anne-Françoise,PLUS LOIN AVEC VOUS,12.0,0.0,1.0,348.0,28.83,50.51,0.0
22221,Plouguiel,3.0,LNC,M,HUONNIC,Pierre,Ensemble pour Plouguiel,15.0,0.0,1.0,494.0,35.06,51.4,0.0
22222,Plouha,1.0,LDVG,M,DELSOL,Philippe,BIEN VIVRE ENSEMBLE À PLOUHA,19.0,0.0,6.0,793.0,19.32,39.08,1.0
22225,Ploumagoar,3.0,LDVG,M,ECHEVEST,Yannick,Ploumagoar & vous,20.0,0.0,4.0,859.0,21.55,36.55,1.0
22251,Pordic,1.0,LDVD,M,BATARD,Joël,PORDIC COMMUNE NOUVELLE NOUVEL ELAN,24.0,0.0,2.0,1423.0,23.9,46.22,0.0
22266,Rostrenen,2.0,LNC,M,ROBIC,Guillaume,"ROSTRENEN, TERRE COMMUNE- ROSTRENN, DOUAR BEV",18.0,0.0,6.0,773.0,36.39,56.06,0.0
22278,Saint-Brieuc,5.0,LDVG,M,GUIHARD,Hervé,REINVENTONS L'ESPOIR SAINT-BRIEUC 2020,35.0,0.0,19.0,5908.0,20.48,59.89,1.0
22282,Saint-Cast-le-Guildo,1.0,LNC,F,MICHEL,Marie-Madeleine,Réalisons ensemble Saint-Cast-le-Guildo,19.0,0.0,2.0,1130.0,32.83,58.25,0.0
22339,Taden,3.0,LNC,F,THOREUX,Evelyne,AGIR EN COHERENCE,15.0,0.0,2.0,528.0,29.56,52.54,0.0
22343,Trébeurden,2.0,LDVD,F,BOIRON,Bénédicte,TREBEURDEN C VOUS LISTE D'UNION COMMUNALE,22.0,0.0,2.0,1132.0,31.2,54.55,0.0
22353,Trégastel,2.0,LNC,M,MARTIN,Xavier,AVEC VOUS POUR TREGASTEL,14.0,0.0,1.0,717.0,28.98,45.61,0.0
23008,Aubusson,4.0,LDVG,M,MOINE,Michel,"AUBUSSON, NATURELLEMENT",17.0,0.0,10.0,546.0,22.94,41.33,1.0
23025,Bonnat,3.0,LNC,M,CHAVANT,Philippe,ENSEMBLE POUR BONNAT,12.0,0.0,4.0,326.0,32.12,51.02,0.0
23079,Felletin,1.0,LNC,F,NICOUX,Renée,EN LIEN - Bâtissons le Felletin de demain,15.0,0.0,5.0,373.0,35.06,55.18,0.0
23096,Guéret,4.0,LDIV,F,FOURNIER,Marie-Françoise,"Partageons notre avenir, avançons ensemble pour Guéret",23.0,0.0,14.0,1182.0,14.4,35.69,0.0
24037,Bergerac,5.0,LDVD,M,PRIOLEAUD,Jonathan,PRIOLEAUD 2020 - UNE ENERGIE NOUVELLE,25.0,0.0,21.0,2997.0,14.85,39.06,0.0
24067,Le Bugue,2.0,LNC,M,LEONIDAS,Serge,LA VOIX CITOYENNE,18.0,0.0,6.0,605.0,30.6,48.44,0.0
24138,Coulounieix-Chamiers,3.0,LDVC,M,CIPIERRE,Thierry,EN AVANT COULOUNIEIX-CHAMIERS,23.0,0.0,4.0,1588.0,26.36,57.91,0.0
24147,Cubjac-Auvézère-Val d'Ans,1.0,LNC,M,RAYNAUD,Michel,"Avec vous, Faisons vivre notre commune",14.0,0.0,2.0,290.0,30.15,42.34,0.0
24218,Jumilhac-le-Grand,1.0,LNC,F,MAURUSSANE,Annick,A VOTRE SERVICE,11.0,0.0,2.0,311.0,33.91,45.34,0.0
24294,Montpon-Ménestérol,4.0,LDVG,F,ROUILLER,Rozenn,EN ACTION ENSEMBLE,20.0,0.0,9.0,922.0,21.66,37.51,1.0
24309,Neuvic,2.0,LDVD,M,ROUSSEL,François,BIEN VIVRE ENSEMBLE A NEUVIC,21.0,0.0,5.0,730.0,30.04,49.29,0.0
24311,Nontron,3.0,LDIV,F,HERMAN-BANCAUD,Nadine,Un renouveau pour Nontron,19.0,0.0,6.0,641.0,30.45,59.74,0.0
24312,Sanilhac,1.0,LDIV,M,AMELIN,Jean-Louis,SANILHAC S'UNIR POUR L'AVENIR,23.0,0.0,2.0,1236.0,33.67,57.43,0.0
24322,Périgueux,6.0,LUG,F,LABAILS,Delphine,"ENSEMBLE, DESSINONS PERIGUEUX",25.0,0.0,15.0,3170.0,17.63,40.56,1.0
24352,Ribérac,3.0,LUG,M,PLATON,Nicolas,RIBERAC L'AVENIR AVEC VOUS !,19.0,0.0,7.0,650.0,22.69,37.02,1.0
24372,Saint-Astier,1.0,LDVD,F,MARTY,Elisabeth,"ASTÉRIENNES, ASTÉRIENS VIVONS NOTRE VILLE !",22.0,0.0,7.0,1228.0,29.65,50.35,0.0
24520,Sarlat-la-Canéda,4.0,LDVC,M,DE PERETTI,Jean-Jacques,Sarlat pour tous !,21.0,0.0,12.0,1455.0,21.33,38.97,0.0
25043,Bart,3.0,LNC,M,GUYON,Jean-Luc,"Bart, un projet pour tous",14.0,0.0,1.0,408.0,25.48,40.08,0.0
25056,Besançon,4.0,LUG,F,VIGNOT,Anne,BESANÇON PAR NATURE,40.0,0.0,40.0,11145.0,16.7,43.84,1.0
25133,Châtillon-le-Duc,3.0,LNC,F,BOTTERON,Catherine,CHATILLON LE DUC DEMAIN,15.0,0.0,1.0,490.0,29.45,52.86,0.0
25367,Mandeure,1.0,LDIV,M,HOCQUET,Jean-Pierre,"MANDEURE ""Tournée vers l'Avenir""",19.0,0.0,2.0,584.0,17.43,38.55,0.0
25454,Pirey,3.0,LNC,M,AYACHE,Patrick,"Pirey, une nouvelle équipe",15.0,0.0,1.0,545.0,37.93,56.71,0.0
25580,Valentigney,4.0,LDVD,M,GAUTIER,Philippe,Valentigney 2026,26.0,0.0,5.0,1381.0,20.74,53.55,0.0
26037,Beaumont-lès-Valence,1.0,LDVC,M,VALLON,Cyril,ECOUTONS BEAUMONT POUR AGIR,22.0,0.0,1.0,862.0,26.16,59.53,0.0
26045,La Bégude-de-Mazenc,3.0,LNC,M,BARBE,Marc-André,RÉUSSIR ENSEMBLE,15.0,0.0,4.0,440.0,30.9,53.72,0.0
26058,Bourg-lès-Valence,1.0,LDVD,F,MOURIER,Marlène,ENGAGÉE,25.0,0.0,6.0,3569.0,25.11,52.81,0.0
26064,Chabeuil,2.0,LDIV,F,VIDANA,Lysiane,CHABEUIL ET VOUS,21.0,0.0,2.0,1153.0,20.04,44.36,0.0
26108,Crest,1.0,LDVD,M,MARITON,Hervé,PARCE QUE NOUS AIMONS CREST,22.0,0.0,15.0,2120.0,31.73,51.67,0.0
26113,Die,2.0,LDVG,F,BIZOUARD,Isabelle,COMMUNE EN VIE,21.0,0.0,15.0,1083.0,28.89,50.65,1.0
26114,Dieulefit,1.0,LNC,M,BUSSAT,Christian,Dieulefit ensemble - Osons une transition heureuse,19.0,0.0,9.0,904.0,34.44,59.12,0.0
26165,Livron-sur-Drôme,3.0,LDIV,M,FAYARD,Francis,LIVRON AU COEUR,20.0,0.0,11.0,1001.0,14.3,35.61,0.0
26198,Montélimar,3.0,LDVD,M,CORNILLET,Julien,MONTELIMAR DEMAIN,29.0,0.0,23.0,5333.0,19.68,46.78,0.0
26235,Pierrelatte,3.0,LDVD,M,GALLU,Alain,PIERRELATTE ENSEMBLE,23.0,0.0,10.0,1465.0,15.13,38.7,0.0
26281,Romans-sur-Isère,3.0,LDVD,F,THORAVAL,Marie-Hélène,ROMANS !,30.0,0.0,11.0,4454.0,20.56,53.52,0.0
26301,Saint-Donat-sur-l'Herbasse,2.0,LDIV,M,FOUREL,Claude,SAINT DONAT AVEC VOUS,20.0,0.0,4.0,643.0,21.63,43.5,0.0
26325,Saint-Rambert-d'Albon,1.0,LLR,M,ORIOL,Gérard,EXPERIENCE et AVENIR 2020,22.0,0.0,5.0,857.0,21.5,51.41,0.0
27056,Bernay,2.0,LDIV,F,VAGNER,Marie-Lyne,SOLUTIONS D'AVENIR,24.0,0.0,11.0,1312.0,18.5,40.2,0.0
27198,Mesnils-sur-Iton,1.0,LDIV,F,BONNARD,Colette,"Ensemble, réussir Mesnils-Sur-Iton",31.0,0.0,6.0,834.0,20.43,48.83,0.0
27229,Evreux,5.0,LUD,M,LEFRAND,Guy,"POUR VOUS, la liste des gens qui aiment Evreux",33.0,0.0,31.0,4170.0,15.85,50.97,0.0
27275,Gaillon,3.0,LDIV,F,HANTZ,Odile,GAILLON NOUVELLE ENERGIE,24.0,0.0,5.0,902.0,21.78,60.86,0.0
27284,Gisors,2.0,LLR,M,RASSAËRT,Alexandre,CONTINUONS ENSEMBLE,26.0,0.0,18.0,2190.0,27.31,56.07,0.0
27316,Hauville,1.0,LNC,M,MIGNOT,William,HAUVILLE UNE ENERGIE RENOUVELEE,12.0,0.0,2.0,354.0,33.75,59.7,0.0
27322,La Haye-Malherbe,3.0,LNC,M,MARAIS,Serge,agir ensemble à La Haye Malherbe et ses hameaux,11.0,0.0,1.0,253.0,22.23,41.34,0.0
27348,Igoville,3.0,LNC,F,BREEMEERSCH,Nathalie,IGOVILLE UN PROJET COMMUN,15.0,0.0,1.0,290.0,22.62,47.54,0.0
27412,Terres de Bord,1.0,LNC,M,PHILIPPE,Patrice,"TERRES DE BORD, ENSEMBLE",15.0,0.0,1.0,338.0,28.21,50.52,0.0
28012,Commune-nouvelle-d'Arrou,2.0,LDVD,M,MARCHAND,Franck,ENSEMBLE POUR VOUS,22.0,0.0,4.0,708.0,24.66,52.17,0.0
28015,Auneau-Bleury-Saint-Symphorien,1.0,LDVD,M,DUCERF,Jean-Luc,L'ENGAGEMENT D'ETRE AVEC VOUS,24.0,0.0,6.0,810.0,22.51,45.23,0.0
28070,Champhol,2.0,LDVD,M,ROUAULT,Etienne,champhol 2020,21.0,0.0,2.0,752.0,27.59,52.26,0.0
28088,Châteaudun,4.0,LDVG,M,VERDIER,Fabien,CHÂTEAUDUN 2020,25.0,0.0,14.0,2010.0,25.48,51.21,1.0
28134,Dreux,9.0,LDVD,M,BILLET,Pierre-Frédéric,Ensemble bâtissons demain,31.0,0.0,20.0,3248.0,18.57,58.76,0.0
28168,Gallardon,2.0,LDVD,M,MARIE,Yves,UN AVENIR POUR GALLARDON,19.0,0.0,3.0,424.0,17.29,42.02,0.0
28218,Lucé,4.0,LDVC,M,GAUTHIER,Florent,Pour l'avenir de Lucé,25.0,0.0,8.0,1571.0,16.98,50.97,0.0
28229,Mainvilliers,1.0,LDVG,F,BONTHOUX,Michèle,"MAINVILLIERS, ENSEMBLE POUR L'AVENIR",25.0,0.0,6.0,1121.0,16.31,50.61,1.0
28280,Nogent-le-Rotrou,1.0,LDVG,M,HUWART,Harold,RASSEMBLER NOGENT,24.0,0.0,18.0,1839.0,26.2,61.69,1.0
28357,Saint-Piat,1.0,LNC,M,BLANCHET,Michael,Ensemble pour Saint-Piat 2020,12.0,0.0,1.0,240.0,27.91,52.86,0.0
28359,Saint-Rémy-sur-Avre,3.0,LDIV,M,RIEHL,Patrick,AGIR AVEC VOUS ET POUR VOUS,21.0,0.0,2.0,619.0,25.62,53.32,0.0
28388,Thivars,2.0,LNC,M,SOUFFLET,Olivier,THIVARS UN NOUVEAU SOUFFLE,12.0,0.0,1.0,254.0,33.29,52.81,0.0
28404,Vernouillet,4.0,LDVG,M,STEPHO,Damien,Vernouillet notre ville,25.0,0.0,8.0,1535.0,20.42,46.7,1.0
29019,Brest,10.0,LUG,M,CUILLANDRE,François,BREST AU COEUR!,42.0,0.0,25.0,12628.0,14.93,49.7,1.0
29031,Clohars-Carnoët,3.0,LDVG,M,JULOUX,Jacques,KLOAR 2020 DYNAMIQUE ET SOLIDAIRE,21.0,0.0,3.0,1425.0,32.6,51.08,1.0
29037,Combrit,3.0,LDVG,M,LOUSSOUARN,Christian,CONSTRUISONS ENSEMBLE NOTRE AVENIR,21.0,0.0,4.0,914.0,25.05,50.28,1.0
29039,Concarneau,2.0,LDVD,M,BIGOT,Marc,MON PARTI C'EST CONCARNEAU,24.0,0.0,13.0,3125.0,17.7,44.55,0.0
29042,Crozon,1.0,LDVC,M,BERTHELOT,Patrick,CROZON ENSEMBLE,20.0,0.0,7.0,1351.0,19.66,35.34,0.0
29046,Douarnenez,1.0,LDIV,F,POITEVIN,Jocelyne,DOUARNENEZ AU COEUR,26.0,0.0,11.0,3511.0,29.21,57.19,0.0
29051,Ergué-Gabéric,2.0,LDVD,M,HERRY,Hervé,CHOISIR POUR RASSEMBLER,22.0,0.0,5.0,1546.0,22.79,46.61,0.0
29080,Hôpital-Camfrout,2.0,LNC,M,LEON,Jean-Jacques,ENSEMBLE POUR L'HÔPITAL-CAMFROUT,14.0,0.0,2.0,397.0,21.84,41.44,0.0
29097,Lampaul-Guimiliau,2.0,LNC,M,POSTEC,Jean-Yves,REUSSIR ENSEMBLE POUR LAMPAUL GUIMILIAU,14.0,0.0,2.0,367.0,24.05,39.93,0.0
29105,Landivisiau,1.0,LDVD,F,CLAISSE,Laurence,"LANDIVISIAU, AVEC VOUS ET POUR VOUS",22.0,0.0,9.0,1553.0,23.63,52.24,0.0
29135,Loctudy,2.0,LDVD,F,ZAMUNER,Christine,ENSEMBLE POURSUIVONS !,20.0,0.0,4.0,924.0,23.64,44.13,0.0
29147,Mellac,3.0,LNC,M,CHAPOULIE,Franck,CHEMINS CITOYENS,16.0,0.0,2.0,557.0,21.55,35.05,0.0
29150,Moëlan-sur-Mer,3.0,LDVG,F,GRISEL,Marie-Louise,MOELAN PARTAGEONS L'AVENIR !,23.0,0.0,5.0,1557.0,24.94,53.52,1.0
29151,Morlaix,3.0,LUG,M,VERMOT,Jean-Paul,MORLAIX ENSEMBLE,26.0,0.0,9.0,2658.0,26.07,54.95,1.0
29153,Névez,2.0,LNC,M,GUILLOU,Dominique,NEVEZ POUR UN NOUVEAU CAP,17.0,0.0,2.0,659.0,24.84,48.03,0.0
29158,Penmarch,1.0,LDIV,F,LE TROADEC,Gwenola,PENMARC'H AVEC VOUS,22.0,0.0,5.0,1366.0,28.37,50.57,0.0
29168,Plogoff,1.0,LNC,M,YVENOU,Joël,CHOISIR D'AVANCER AVEC VOUS,12.0,0.0,2.0,437.0,38.13,55.6,0.0
29174,Plonéour-Lanvern,1.0,LDVC,F,KERLOCH,Josiane,ENGAGES POUR PLONEOUR-LANVERN,21.0,0.0,9.0,1140.0,23.73,45.93,0.0
29188,Plougasnou,2.0,LNC,F,BERNARD,Nathalie,PLOUGASNOU ENSEMBLE,18.0,0.0,2.0,877.0,30.71,52.74,0.0
29189,Plougastel-Daoulas,3.0,LDVD,M,CAP,Dominique,"PLOUGASTEL, ON L'AIME !",25.0,0.0,5.0,2409.0,22.17,46.69,0.0
29190,Plougonvelin,3.0,LDVD,M,GOUEREC,Bernard,PLOUGONVELIN 2020-2026,21.0,0.0,4.0,944.0,26.84,50.03,0.0
29212,Plouzané,3.0,LDVC,M,DU BUIT,Yves,PLOUZANE NOUVEL ELAN,24.0,0.0,4.0,1870.0,18.22,45.27,0.0
29232,Quimper,6.0,LUG,F,ASSIH,Isabelle,QUIMPER ENSEMBLE,37.0,0.0,21.0,9520.0,22.14,51.25,1.0
29235,Le Relecq-Kerhuon,2.0,LDVG,M,PÉRON,Laurent,L'UNION POUR LE RELECQ-KERHUON,25.0,0.0,4.0,1715.0,18.28,46.09,1.0
29247,Saint-Evarzec,2.0,LDIV,M,ROCUET,René,RASSEMBLES POUR SAINT-E,19.0,0.0,4.0,702.0,24.32,40.34,0.0
30012,Aramon,2.0,LDVG,M,ROSIER,Jean-Marie,ARAMON PASSIONNEMENT,21.0,0.0,5.0,953.0,27.77,54.99,1.0
30014,Arpaillargues-et-Aureillac,3.0,LNC,M,DAUTREPPE,Gérard,AGIR ENSEMBLE POUR L'AVENIR D'ARPAILLARGUES ET AUREILHAC,11.0,0.0,1.0,243.0,27.65,37.97,0.0
30028,Bagnols-sur-Cèze,6.0,LDVC,M,CHAPELET,Jean-Yves,BAGNOLS 2020 - CONTINUONS ENSEMBLE,25.0,0.0,13.0,2170.0,16.7,47.38,0.0
30033,Beauvoisin,4.0,LDIV,F,CAYZAC,Mylène,BON SENS ET DYNAMISME 2020,21.0,0.0,5.0,847.0,24.5,49.33,0.0
30075,Caveirac,1.0,LDIV,M,CHAILAN,Jean-Luc,J'AIME CAVEIRAC,20.0,0.0,1.0,769.0,22.35,43.69,0.0
30085,Collias,2.0,LNC,M,PIRE,Jonathan,POUR COLLIAS,12.0,0.0,1.0,387.0,42.16,59.26,0.0
30133,Le Grau-du-Roi,1.0,LDVC,M,CRAUSTE,Robert,ROBERT CRAUSTE - TENONS LE CAP,23.0,0.0,11.0,2923.0,34.02,58.2,0.0
30140,Lasalle,1.0,LNC,M,DE LATOUR,Henri,LASALLE SOLIDAIRE,11.0,0.0,4.0,272.0,29.63,39.25,0.0
30155,Manduel,1.0,LDVD,M,GRANAT,Jean-Jacques,MANDUEL MON VILLAGE GARDONS LE CAP,23.0,0.0,2.0,1378.0,25.72,53.98,0.0
30156,Marguerittes,1.0,LDVG,M,NICOLAS,Rémi,NOUS C'EST MARGUERITTES,23.0,0.0,4.0,1718.0,24.16,53.87,1.0
30169,Milhaud,1.0,LDVC,M,DESCLOUX,Jean-Luc,Plus loin ensemble pour Milhaud,24.0,0.0,2.0,1127.0,25.52,58.91,0.0
30189,Nîmes,1.0,LLR,M,FOURNIER,Jean-Paul,CHOISISSONS NIMES,42.0,0.0,37.0,11703.0,13.24,41.97,0.0
30202,Pont-Saint-Esprit,2.0,LDVG,F,LAPEYRONIE,Claire,ENSEMBLE,26.0,0.0,8.0,1659.0,23.58,53.31,1.0
30212,Remoulins,3.0,LNC,M,CARTAILLER,Nicolas,REMOULINS AMBITION COLLECTIVE,16.0,0.0,2.0,702.0,40.11,65.24,0.0
30249,Saint-Dionisy,3.0,LNC,M,GREGOIRE,Jean-Christophe,Bien Vivre Ensemble à Saint-Dionisy,13.0,0.0,1.0,327.0,38.38,62.52,0.0
30259,Saint-Hilaire-de-Brethmas,1.0,LDVG,M,PERRET,Jean-Michel,INITIATIVES POUR SAINT-HILAIRE,21.0,0.0,2.0,1066.0,27.33,56.31,1.0
30269,Saint-Jean-du-Gard,3.0,LNC,M,RUAS,Michel,ensemble continuons d'agir pour saint-jean-du-gard,15.0,0.0,1.0,718.0,32.71,54.35,0.0
30270,Saint-Jean-du-Pin,3.0,LNC,F,LOPEZ DUBREUIL,Julie,VIVRE SAINT JEAN DU PIN,15.0,0.0,1.0,397.0,33.0,49.19,0.0
30321,Sommières,2.0,LDIV,M,MARTINEZ,Pierre,Bien vivre à SOMMIERES,19.0,0.0,6.0,692.0,20.31,39.3,0.0
30326,Tavel,1.0,LNC,M,PHILIP,Claude,AVEC VOUS POUR TAVEL,15.0,0.0,1.0,470.0,28.89,49.01,0.0
30341,Vauvert,2.0,LDVG,M,DENAT,Jean,"Pour nous, c'est Vauvert !",25.0,0.0,12.0,2532.0,28.29,51.58,1.0
31032,Aussonne,3.0,LDVG,M,BEUILLÉ,Michel,2020 PACTE CITOYEN,22.0,0.0,2.0,1118.0,21.8,53.26,1.0
31088,Brax,3.0,LNC,M,ZANATTA,Thierry,AGIR POUR BRAX,17.0,0.0,1.0,589.0,26.58,45.13,0.0
31113,Castanet-Tolosan,2.0,LDVG,M,NORMAND,Xavier,Castanet en Commun,25.0,0.0,9.0,2147.0,24.62,50.93,1.0
31149,Colomiers,2.0,LDVG,F,TRAVAL-MICHELET,Karine,ESPRIT COLOMIERS,30.0,0.0,6.0,4295.0,19.47,49.62,1.0
31157,Cugnaux,2.0,LDVG,M,SANCHEZ,Albert,cap citoyen-cugnaux avenir partagé,23.0,0.0,3.0,1755.0,14.66,37.1,1.0
31165,Eaunes,4.0,LDVC,M,SOTTIL,Alain,Aimer Eaunes,20.0,0.0,2.0,790.0,17.4,36.39,0.0
