Code commune,Libellé de la commune,Code Nuance,Sexe,Nom,Prénom,Liste,Sièges / Elu,Sièges Secteur,Sièges CC,Voix,% Voix/Ins,% Voix/Exp,Ordre_candidat,D_elec_2020
33393,Saint-Denis-de-Pile,LUG,M,MAROIS,Alain,"UNE ÉQUIPE, UNE VOLONTÉ, UN AVENIR POUR SAINT-DENIS-DE-PILE",22,0.0,3.0,1299.0,36.38,50.7,1,1.0
33402,Sainte-Foy-la-Grande,LDVD,M,CHALARD,Christophe,ENSEMBLE POUR SAINTE FOY LA GRANDE,15,0.0,3.0,495.0,34.57,51.08,2,0.0
33449,Saint-Médard-en-Jalles,LUD,M,MANGON,Jacques,L'ALTERNATIVE POUR SAINT-MÉDARD,28,0.0,3.0,8890.0,40.87,60.21,2,0.0
33474,Saint-Selve,LDVG,F,BURTIN-DAUZAN,Nathalie,FAIRE ENSEMBLE SAINT-SELVE,15,0.0,2.0,788.0,42.5,57.73,1,1.0
33529,La Teste-de-Buch,LUD,M,EROLES,Jean-Jacques,"JEAN-JACQUES EROLES LA CONFIANCE, AUJOURD'HUI ET DEMAIN",26,0.0,13.0,5714.0,29.2,45.98,2,0.0
33540,Vendays-Montalivet,LDVD,M,BOURNEL,Pierre,VENDAYS-MONTALIVET : GERER AUTREMENT C'EST POSSIBLE,15,0.0,4.0,825.0,37.53,47.04,3,0.0
33548,Villegouge,LDVD,F,MÉDES,Jeanine,VILLEGOUGE AVEC VOUS ET POUR VOUS,11,0.0,2.0,343.0,37.78,45.55,3,0.0
34003,Agde,LUD,M,D'ETTORE,Gilles,L'UNION AGATHOISE 2014,26,0.0,13.0,7605.0,33.67,47.91,2,0.0
34009,Alignan-du-Vent,LDVG,M,VIDAL,Régis,ALIGNAN TOUJOURS EN AVANT,15,0.0,3.0,532.0,39.61,50.81,2,1.0
34014,Assas,LDVD,M,GRAU,Jacques,"Jacques GRAU et son équipe, l'expérience pour l'avenir",15,0.0,2.0,593.0,43.19,57.52,2,0.0
34028,Bédarieux,LDVG,M,MARTINEZ,Antoine,Bédarieux une ville qui positive,20,0.0,10.0,1147.0,25.29,37.31,2,1.0
34031,Bessan,LDVD,M,PEPIN-BONET,Stéphane,ENSEMBLE POUR BESSAN,23,0.0,2.0,1612.0,44.73,66.26,2,0.0
34032,Béziers,LFN,M,MENARD,Robert,CHOISIR BEZIERS,37,0.0,22.0,14867.0,31.36,46.99,3,0.0
34051,Canet,LDVD,M,REVEL,Claude,CANET PASSION,17,0.0,4.0,875.0,34.71,44.69,3,0.0
34057,Castelnau-le-Lez,LUMP,M,GRAND,Jean-Pierre,"CASTELNAU, VOTRE VILLE",26,0.0,3.0,4182.0,30.57,53.89,2,0.0
34058,Castries,LSOC,M,PASTOR,Gilbert,"CASTRIES, L'ENERGIE COMMUNE",22,0.0,1.0,1467.0,31.71,45.26,1,1.0
